Ano;Disciplina;Palavra (na grade);Dica
1º Ano;Matemática;TRES;Quantas rodas tem um triciclo? 🚲
1º Ano;Matemática;QUATRO;Número de patas de um cachorro 🐕
1º Ano;Matemática;CINCO;Quantos dedos tem uma mão? ✋
1º Ano;Matemática;SEIS;A metade de uma dúzia (12 dividido por 2)
1º Ano;Matemática;ZERO;Número que quer dizer 'nenhum': 0
1º Ano;Matemática;BOLA;Brinquedo redondo que rola e quica ⚽
1º Ano;Português;VOGAL;A, E, I, O e U são as letras chamadas de ___
1º Ano;Português;LETRA;Cada sinalzinho do alfabeto: A, B, C...
1º Ano;Português;GATO;Bichinho de estimação que faz 'miau' 🐱
1º Ano;Português;BOLO;Doce gostoso que tem no aniversário 🎂
1º Ano;Português;CASA;Lugar onde a gente mora 🏠
1º Ano;Português;PATO;Ave que faz 'quá-quá' e adora nadar 🦆
1º Ano;Inglês;CAT;'Gato' em inglês 🐱
1º Ano;Inglês;DOG;'Cachorro' em inglês 🐶
1º Ano;Inglês;RED;A cor 'vermelho' em inglês 🔴
1º Ano;Inglês;BLUE;A cor 'azul' em inglês 🔵
1º Ano;Inglês;SUN;O 'sol' em inglês ☀️
1º Ano;Inglês;BOOK;'Livro' em inglês 📖
1º Ano;Educação Física;PULAR;O que fazemos com a corda, dando saltinhos
1º Ano;Educação Física;CORRER;Mover-se bem rápido com as pernas 🏃
1º Ano;Educação Física;BOLA;Usada no futebol e no basquete ⚽
1º Ano;Educação Física;NADAR;Mover o corpo dentro da água 🏊
1º Ano;Educação Física;PIQUE;Brincadeira de pega-pega: pique-___
1º Ano;Educação Física;DANCAR;Mexer o corpo no ritmo da música 💃
1º Ano;Ciências;SOL;Estrela que ilumina e aquece o dia ☀️
1º Ano;Ciências;AGUA;Bebemos quando estamos com sede 💧
1º Ano;Ciências;FLOR;Parte colorida e cheirosa da planta 🌸
1º Ano;Ciências;ARVORE;Planta grande, com tronco e folhas 🌳
1º Ano;Ciências;PEIXE;Animal que vive na água e tem escamas 🐟
1º Ano;Ciências;MICO;Macaquinho pequeno que pula nas árvores 🐒
1º Ano;Artes;COR;Azul, vermelho e amarelo são tipos de ___ 🎨
1º Ano;Artes;LAPIS;Usamos para desenhar e escrever ✏️
1º Ano;Artes;TINTA;Líquido colorido que usamos para pintar
1º Ano;Artes;PINCEL;Ferramenta de cerdas para passar tinta 🖌️
1º Ano;Artes;AZUL;A cor do céu num dia bonito 💙
1º Ano;Artes;PAPEL;Onde desenhamos e escrevemos 📄
1º Ano;Geografia;RUA;Caminho por onde passam carros e pessoas
1º Ano;Geografia;ESCOLA;Lugar onde estudamos e brincamos 🏫
